Seton Hall University	15	74
Sewanee: The University of the South	16	56
Siena College	7	81
Simmons University	8	83
Skidmore College	25	32
Smith College	35	37
Soka University of America	20	52
Southern Methodist University	30	53
Southwestern University	13	49
Spelman College	6	53
St. John Fisher College	7	64
St. John’s College Annapolis	20	60
St. John’s University (NY)	8	72
St. Lawrence University	19	47
St. Mary’s College (IN)	7	81
St. Mary’s College of California	8	77
St. Mary’s College of Maryland	9	79
St. Michael’s College	13	88
St. Olaf College	16	51
Stanford University	42	5
Stetson University	11	72
Stevens Institute of Technology	34	40
Stonehill College	12	68
Stony Brook University—SUNY	24	49
SUNY College of Environmental Science and Forestry	12	61
SUNY— Geneseo	15	61
Susquehanna University	10	85
Swarthmore College	40	9
Syracuse University	18	44
Taylor University	10	70
Temple University	11	71
Texas A&M University—College Station	17	63
Texas Christian University	12	48
Texas Lutheran University	99	56
Texas State University	1	85
Te x a s  Te ch  U n i v e r si t y	7	70
The Catholic University of America	13	85
The Citadel	3	80
The College of New Jersey	15	51
The Cooper Union	30	16
Thomas Aquinas College	15	79
Towson University	5	79
Transylvania University	8	90
Trinity College (Hartford)	31	36
Trinity University	27	34
Truman State University	15	63
Tufts University	40	16
Tulane University	36	11
Union College (Schenectady NY)	21	41
United States Air Force Academy	22	13
United States Coast Guard Academy	21	20
United States Merchant Maritime Academy	20	25
United States Military Academy	16	10
United States Naval Academy	25	9
University at Albany—SUNY	10	57
University at Buffalo—SUNY	14	67
University of Akron	96	77
University of Alabama	7	80
University of Alaska Anchorage	2	83
University of Arizona	11	85
University of Arkansas—Fayetteville	11	78
University of California—Berkeley	30	18
University of California—Davis	15	41
University of California—Irvine	24	30
University of California—Los Angeles	29	14
University of California—Merced	95	85
University of California—Riverside	8	66
University of California—San Diego	28	38
University of California—Santa Barbara	25	37
University of California—Santa Cruz	16	65
University of Central Florida	17	44
University of Chicago	51	7
University of Cincinnati	12	76
University of Colorado—Boulder	14	84
University of Connecticut	19	49
University of Dallas	13	52
University of Dayton	3	81
University of Delaware	17	68
University of Denver	18	61
University of Florida	32	37
University of Georgia	12	48
University of Hawaii—Manoa	6	62
University of Houston	14	63
University of Idaho	99	74
University of Illinois—Chicago	3	73
University of Illinois—Urbana-Champaign	22	63
University of Iowa	13	84
University of Kansas	8	91
University of Kentucky	7	96
University of La Verne	4	55
University of Maine	7	90
University of Mary Washington	9	75
University of Maryland—College Park	29	51
University of Massachusetts—Amherst	19	64
University of Memphis	99	85
University of Miami	26	33
University of Michigan—Ann Arbor	34	26
University of Minnesota—Twin Cities	26	70
University of Mississippi	2	88
University of Missouri	12	81
University of Montana	5	94
University of Nebraska—Lincoln	13	78
University of Nevada—Las Vegas	3	81
University of New Hampshire	10	85
University of New Mexico	0	49
University of North Carolina—Chapel Hill	27	24
University of North Carolina—Charlotte	11	80
University of North Carolina— Greensboro	99	88
University of North Carolina— Wilmington	16	68
University of North Dakota	2	87
University of North Georgia	5	77
University of North Texas	5	84
University of Notre Dame	40	19
University of Oklahoma	11	83
University of Oregon	8	83
University of Pennsylvania	46	9
University of Pittsburgh	24	64
University of Portland	14	77
University of Puget Sound	15	84
University of Redlands	10	75
University of Rhode Island	10	76
University of Richmond	29	31
University of Rochester	30	29
University of San Diego	17	59
University of San Francisco	13	48
University of South Carolina	14	68
University of South Dakota	0	91
University of South Florida	17	49
University of Southern California	36	16
University of St. Thomas (MN)	16	83
University of Tennessee	14	78
University of Texas—Austin	22	32
University of Texas—Arlington	4	83
University of Texas—Dallas	23	79
University of Texas—El Paso	90	100
University of Texas—Rio Grande Valley	95	80
University of Texas—San Antonio	3	84
University of the Pacific	13	66
University of Toledo	0	95
University of Tulsa	9	36
University of Utah	14	79
University of Vermont	18	71
University of Virginia	33	23
University of Washington—Bothell	5	88
University of Washington—Seattle	22	56
University of Wisconsin—Madison	30	57
University of Wisconsin—Milwaukee	6	97
University of Wyoming	5	94
Ursinus College	15	52
Utah State	5	91
Valparaiso University	9	87
Vanderbilt University	47	12
Vassar College	38	25
Villanova University	32	31
Virginia Commonwealth University	6	91
Virginia Military Institute	7	60
Virginia Polytechnic Institute and State University	17	66
Wabash College	12	63
Wake Forest University	30	32
Washington and Jefferson College	9	85
Washington and Lee University	46	19
Washington College	7	80
Washington State University	2	80
Washington University in St. Louis	48	16
Wayne State University	2	73
Weber State		100
Wellesley College	37	20
Wesleyan University	34	21
West Virginia University	5	82
Western Kentucky	98	98
Western Michigan	1	85
Westmont College	11	64
Wheaton College (IL)	27	87
Wheaton College (MA)	18	77
Whitman College	26	54
Whittier College	3	76
Willamette University	12	80
Williams College	43	15
Wofford College	19	53
Worcester Polytechnic Institute	31	59
Xavier University	7	76
Yale University	47	7
Yeshiva University	16	67
